movie_id,title,original_title,overview,release_date,popularity,vote_average,vote_count,genres,poster_path
1337309,Bangkok Breaking: ฝ่านรกเมืองเทวดา,Bangkok Breaking: ฝ่านรกเมืองเทวดา,เจ้าหน้าที่กู้ภัยต้องดิ้นรนเอาชีวิตรอดจากสถานการณ์เสี่ยงเป็นเสี่ยงตาย หลังจากที่เข้ามาพัวพันกับความขัดแย้งในโลกใต้ดินของกรุงเทพมหานคร,2024-09-19,131.646,6.67,50,"บู๊, อาชญากรรม, หนังชีวิต, ระทึกขวัญ",https://image.tmdb.org/t/p/w500/4Rl94Nzl912JDO6qVjtSelNxjIG.jpg
1134424,นักรบมนตรา: ตำนานแปดดวงจันทร์,นักรบมนตรา: ตำนานแปดดวงจันทร์,มหาศึกสงครามระหว่างกองทัพแห่งองค์ราม และ จักรพรรดิทศกัณฐ์ ที่ต่อสู้กันมาอย่างยาวนานไม่รู้จักจบสิ้นในจักรวาลอีกห้วงมิติหนึ่ง ซึ่งในระหว่างที่สู้รบนั้น องค์รามได้เกิดพลาดท่าถูกทศกัณฐ์ลักพาตัวพระแม่สีดาขึ้นยานหนีไป เพราะตามตำนานได้กล่าวไว้ว่าในทุกๆ 500 ปี พลังแห่งเทพที่สามารถสร้างหรือทำลายทุกสรรพสิ่งในพริบตา จะตื่นขึ้นในร่างสตรีนางหนึ่ง ซึ่งทศกัณฐ์เชื่อว่าพลังอันยิ่งใหญ่ที่หลับใหลนี้อยู่ในตัวพระแม่สีดา ทำให้องค์รามต้องส่ง “วายุ” “เวฬา” และ “บุษบา” นักรบทั้งสามเพื่อออกติดตามนำตัวพระแม่สีดากลับคืนมา แต่ก็ถูกขัดขวางด้วยพละกำลังอันมหาศาลจากราชาพาลี แม่ทัพผู้แข็งแกร่งที่ไม่เคยพ่ายแพ้ในศึกสงคราม และหนทางเดียวที่จะชิงตัวพระแม่สีดากลับคืนมาและเอาชนะศึกสงครามระดับจักรวาลในครั้งนี้ได้ คือต้องรอคอยนักรบในตำนานที่ถูกเรียกขานว่า นักรบมนตรา ที่จะถือกำเนิดในห้วงเวลาที่เกิดปรากฏการณ์ดวงจันทร์ทั้งแปดแห่งดาววานาราเรียงตัวกันเท่านั้น,2023-10-11,105.941,7.5,68,"แอนนิเมชั่น, บู๊, ผจญ, จินตนาการ, นิยายวิทยาศาสตร์",https://image.tmdb.org/t/p/w500/mynbrkIAAWw8OVVNAqC75vPwKqg.jpg
1167366,ยูเรนัส 2324,ยูเรนัส 2324,นักบินอวกาศและนักประดาน้ำที่ผูกพันกันตั้งแต่เยาว์วัย แต่จากกันไปเพราะโศกนาฏกรรม ต้องหาทางแก้ไขกฎของปริภูมิและเวลา เพื่อกลับมาเคียงข้างกันอีกครั้ง,2024-07-04,55.288,6.3,24,"หนังรักโรแมนติก, หนังชีวิต, นิยายวิทยาศาสตร์",https://image.tmdb.org/t/p/w500/fXx7wPWSfCrWApWsB4kLoiGzbSP.jpg
1103621,หลานม่า,หลานม่า,เอ็ม ที่ตัดสินใจดร็อปเรียนตอนปีสี่ เพื่อมาเอาดีทางการเป็นนักแคสต์เกม แต่ทำยังไงก็ไม่รุ่ง เอ็มเลยคิดจะรวยด้วยการทำงานสบายๆ แบบ มุ่ย ลูกพี่ลูกน้องที่รับดูแลอากงที่ป่วยระยะสุดท้าย จนกลายเป็นทายาทคนเดียวที่ได้รับมรดกเป็นบ้านราคากว่าสิบล้าน เส้นทางการเป็นเศรษฐีรออยู่ตรงหน้า เอ็มจึงอาสาไปดูแล อาม่า ที่ตรวจพบว่าเป็นมะเร็ง และน่าจะมีชีวิตอยู่ได้อีกไม่เกินปี โดยหวังจะได้มรดกหลักล้านเช่นกัน  เมื่อหลานกับอาม่าที่อายุห่างกันกว่า 50 ปี ต้องมาอยู่ร่วมกัน การต่อปากต่อคำจึงเกิดขึ้นในทุกโมเมนต์ แต่มันกลับ เป็นช่วงเวลาที่ทำให้อาม่าลืมเหงา จากการเฝ้ารอลูกชายคนโต กู๋เคี้ยง ลูกสาวคนกลาง อย่าง แม่ของเอ็ม และลูกชายคนเล็กอย่าง กู๋โส่ย ที่จะมาพร้อมหน้ากันตามเทศกาลต่างๆ เท่านั้น ไม่น่าเชื่อว่างานที่เริ่มต้นทำเพราะหวังรวย จะทำให้คนห่วยๆ อย่างเอ็มได้รู้ว่าคำว่า “ครอบครัว” มีค่ามากกว่าเงิน,2024-04-04,58.311,8.0,91,"หนังชีวิต, ตลก",https://image.tmdb.org/t/p/w500/ciBi4QmK13W8TlCd2hcgucqgb0.jpg
1134433,ธี่หยด,ธี่หยด,บทสรุปเรื่องเล่าที่เป็นตำนาน หญิงชุดดำที่มาพร้อมกับเสียง “ธี่หยด” ความน่ากลัวที่ไม่มีวิธีรับมือ ความสยองที่คืบคลานเข้ามาสู่ครอบครัวนี้อย่างไม่มีเหตุผล ยักษ์จึงต้องทำทุกวิถีทางเพื่อให้แย้มหายจากอาการประหลาด และทำให้ครอบครัวมีชีวิตรอดไปจากเสียงเพรียกสยองยามค่ำคืน,2023-10-25,66.564,7.596,167,"สยองขวัญ, ระทึกขวัญ",https://image.tmdb.org/t/p/w500/wmenjROhs4AI4vDBmSVy3d1tLL7.jpg
1025169,13 หมูป่า: เรื่องเล่าจากในถ้ำ,13 หมูป่า: เรื่องเล่าจากในถ้ำ,สมาชิกทีมฟุตบอลเยาวชนหมูป่าร่วมถ่ายทอดประสบการณ์ติดถ้ำหลวงในปี 2018 และเรื่องราวการต่อสู้ดิ้นรนเพื่อเอาชีวิตรอด ในผลงานสารคดีชวนติดตาม,2022-10-05,46.307,6.4,84,สารคดี,https://image.tmdb.org/t/p/w500/seeEc3xNttsx308AB0iFtqKVyjG.jpg
17111,ชัตเตอร์ กดติดวิญญาณ,ชัตเตอร์ กดติดวิญญาณ,เรื่องราวของ ช่างภาพหนุ่ม มาดเซอร์ กับ แฟนสาวของเขา เรื่องเริ่มต้นขึ้น เมื่อทั้งคู่ ขับรถชนหญิงสาว คนหนึ่งอย่างแรง แล้วตัดสินใจ ขับหนีไป ไม่นานทั้งคู่ ก็ต้องพบกับ เหตุการณ์ประหลาด เมื่อภาพถ่ายขอ งพระเอกนั้น ถ่ายติดแสงเงา ประหลาดมาด้วย แรกเริ่มเขาก็คิด เพียงว่ามันเป็น แค่รูปเสีย แต่เขาก็พบว่า มันมีอะไร บางอย่าง มากกว่านั้น คือมีเงาคล้ายกับ ใบหน้าของ ผู้หญิง ติดมาในรูปด้วย ทั้งคู่เริ่มค้นพบว่า เงาที่ปรากฏในภาพทั้งหลายนั้น มีบางอย่าง ที่เชื่อมโยงถึงกัน,2004-09-09,42.441,7.292,1229,"สยองขวัญ, ลึกลับ, ระทึกขวัญ",https://image.tmdb.org/t/p/w500/c73npKeocy779c6zmXjkfJehV2Q.jpg
949429,ผจญภัยล่าขุมทรัพย์หมื่นลี้,ผจญภัยล่าขุมทรัพย์หมื่นลี้,“จอย” เธอได้พบ “ริคกี้” ชายไทยที่ร้านขายของเก่าที่เซี่ยงไฮ้ จอยกับริกกี้แย่งกันซื้อรูปปั้นคู่หนึ่ง ริคกี้บังเอิญทำรูปปั้นแตก เขาพบว่าข้างในมีลายแทงส่วนหนึ่งอยู่ ริคกี้ขอจอยซื้อรูปปั้น แต่จอยไม่ยอม ริคกี้ต้องจำใจบอกความลับ พร้อมเสนอว่าจะแบ่งสมบัติให้ จอยตกลง เมื่อทุบรูปปั้นออกปรากฏว่ามีลายแทงส่วนที่สองอยู่จริงๆ แต่ก็ยังขาดอีกส่วน การผจญภัยตามล่าขุมทรัพย์ของสองคนก็เริ่มต้น,2023-12-22,30.202,6.163,52,"หนังรักโรแมนติก, ตลก, ผจญ",https://image.tmdb.org/t/p/w500/w0Fao59IOjgfA9a1BFHG5nECGJg.jpg
9316,องค์บาก,องค์บาก,"""องค์บาก"" พระพุทธรูปศักดิ์สิทธิ์ ซึ่งเป็นที่เคารพบูชาของหมู่บ้านหนองประดู่ ได้ถูกขโมยตัดเศียรไป บุญทิ้ง (ทัชชกร ยีรัมย์) หนุ่มบ้านหนองประดู่ จึงอาสาออกตามหามาจนถึงกรุงเทพฯ จนได้เจออ้ายหำแหล่หรือ ยอร์จ (หม่ำ จ๊กมก) ลูกชายผู้ใหญ่บ้านที่ทิ้งท้องนาและกลิ่นโคลนสาปควายบ้านนอก มาร่วมทีมกับ ""หมวยเล็ก"" (ภุมวารี ยอดกมล) มาเป็น 18 มงกุฎ ต้มตุ๋นชาวบ้านเพื่อเลี้ยงปากท้อง บุญทิ้งจึงไม่วายเป็นเหยื่อเพราะความซื่อ แต่ด้วยความที่เป็นคนดีและเคยช่วยเหลือชีวิตทั้งสองไว้ ภายหลังเขาจึงได้รับความช่วยเหลือจากทั้งสองในการตามหาองค์บาก พร้อมถูกดึงเข้าสู่การต่อสู้กับเจ้าพ่ออิทธิพลมืดจนเกือบเอาชีวิตไม่รอด บุญทิ้งจึงขอต่อสู้ถวายชีวิตด้วยศิลปะมวยไทยโบราณตลอดจนการเดินทางตามหาองค์บากเพื่อนำกลับคืนสู่หมู่บ้านให้ทันพิธีอุปสมบทหมู่ซึ่งจะจัดขึ้นในอีก 7 วันให้ได้",2003-01-21,46.092,7.134,1686,"บู๊, ระทึกขวัญ, อาชญากรรม, ผจญ",https://image.tmdb.org/t/p/w500/7QJsZMasorm07MbqtaVOYKhbW9g.jpg
745881,ร่างทรง,ร่างทรง,เรื่องราวของการสืบทอดทายาทร่างทรงที่กลับกลายเป็นการส่งต่อความตาย และท้าทายทุกความเชื่อที่เคยมีมา,2021-10-28,42.237,7.013,634,"สยองขวัญ, ระทึกขวัญ",https://image.tmdb.org/t/p/w500/tc9ySw8e1nXmd14FEWLkbUEpeFp.jpg
