id,thai_title,english_title,original_title,genres,status,cast,watch_platforms,content_type
1247019,ธี่หยด 2,Death Whisperer 2,ธี่หยด 2,"สยองขวัญ, ระทึกขวัญ, บู๊",Released,"Nadech Kugimiya (https://image.tmdb.org/t/p/w500/w58HrktpHZ7UVGY5SKoJxFkitCy.jpg), Ongart Cheamcharoenpornkul (https://image.tmdb.org/t/p/w500/i3e4IuDngcByoViRZ8HMwNMNdRw.jpg), Kajbhunditt Jaidee (https://image.tmdb.org/t/p/w500/4XCjfePa5LYyYoUjWfwsODxszT0.jpg), Peerakrit Phacharaboonyakiat (https://image.tmdb.org/t/p/w500/tr7Lmmqp1iRKlSaoJCyec0OZ1sf.jpg), Denise Jelilcha Kapaun (https://image.tmdb.org/t/p/w500/d7rfzM7mmsHNKor8dXJ2f81I9qR.jpg)",Netflix,Movie
1188104,Furia en dos ruedas,The X-Treme Riders,ปล้นทะลุไมล์,"บู๊, อาชญากรรม",Released,"Jirayu La-ongmani (https://image.tmdb.org/t/p/w500/vlviWuIBR72VFwnWVNCUjRg47aG.jpg), Wawaa Nichari Chokprajakchat (https://image.tmdb.org/t/p/w500/onaqZwBCxUAdGK7FAACHKUWmnOR.jpg), Chaleeda Gilbert (https://image.tmdb.org/t/p/w500/IGjHfJiuO9LCw8hyP268lDAFYF.jpg), Assaree Wattanayakun (N/A), Ratchanont Suprakob (https://image.tmdb.org/t/p/w500/w8OimATLYL1vL6Le5efzOGUbiuj.jpg)",Amazon Prime Video,Movie
1134433,ธี่หยด,Death Whisperer,ธี่หยด,"สยองขวัญ, ระทึกขวัญ",Released,"Nadech Kugimiya (https://image.tmdb.org/t/p/w500/w58HrktpHZ7UVGY5SKoJxFkitCy.jpg), Kajbhunditt Jaidee (https://image.tmdb.org/t/p/w500/4XCjfePa5LYyYoUjWfwsODxszT0.jpg), Peerakrit Phacharaboonyakiat (https://image.tmdb.org/t/p/w500/tr7Lmmqp1iRKlSaoJCyec0OZ1sf.jpg), Denise Jelilcha Kapaun (https://image.tmdb.org/t/p/w500/d7rfzM7mmsHNKor8dXJ2f81I9qR.jpg), Rattanawadee Wongtong (https://image.tmdb.org/t/p/w500/cF5AWXXOleumTIEIp4DRFri9RxF.jpg)",Netflix,Movie
1337309,Bangkok Breaking: ฝ่านรกเมืองเทวดา,Bangkok Breaking: Heaven and Hell,Bangkok Breaking: ฝ่านรกเมืองเทวดา,"บู๊, อาชญากรรม, หนังชีวิต, ระทึกขวัญ",Released,"Sukollawat Kanarot (https://image.tmdb.org/t/p/w500/v0tNea70dRSyOqC6OtIL8MuWEIq.jpg), Atitaya Tribudarak (https://image.tmdb.org/t/p/w500/k1qWYWTT38PLWY5HmXv4sOOm8hz.jpg), Sanya Kunakorn (https://image.tmdb.org/t/p/w500/3DQGTDFdAvWMf8XTp8GsOG2VNR1.jpg), Natthaya Ongsritragul (https://image.tmdb.org/t/p/w500/i2EefIqNyCdAn7smey8rxYxOmgj.jpg), Day Thaitanium (N/A)",Netflix,Movie
1134424,นักรบมนตรา: ตำนานแปดดวงจันทร์,Mantra Warrior: The Legend of The Eight Moons,นักรบมนตรา: ตำนานแปดดวงจันทร์,"แอนนิเมชั่น, บู๊, ผจญ, จินตนาการ, นิยายวิทยาศาสตร์",Released,"Ranee Campen (https://image.tmdb.org/t/p/w500/p2mHicig9Obk6InadpCmdxFIMpj.jpg), Tachaya Pathumwan (N/A), Sorawit Tongteng (N/A), Nalinee Cheewasakorn (N/A), Pattechin Sasipatthanathada (N/A)",Netflix,Movie
745881,ร่างทรง,The Medium,ร่างทรง,"สยองขวัญ, ระทึกขวัญ",Released,"Narilya Gulmongkolpech (https://image.tmdb.org/t/p/w500/eBa4fndcdfVcI4dNXi7ZFwMSXHL.jpg), Sawanee Utoomma (https://image.tmdb.org/t/p/w500/vfr0G13M34r56brKpQ6eJxdp6RZ.jpg), Sirani Yankittikan (N/A), Yasaka Chaisorn (https://image.tmdb.org/t/p/w500/4trP7QqmzLLEJuxlpPTLDGO54H0.jpg), Boonsong Nakphoo (https://image.tmdb.org/t/p/w500/9hCUlDrl1SrYbuq9OqZlF4C2Xos.jpg)",Netflix,Movie
1278162,พนอ,Panor,พนอ,"สยองขวัญ, ระทึกขวัญ",Released,"Cherprang Areekul (https://image.tmdb.org/t/p/w500/8APcsSrzCYNE3cmn9xkHgfm7DRR.jpg), Jackrin Kungwankiatichai (https://image.tmdb.org/t/p/w500/7pG5BNMMKjUadCzdjjOBzqnkwe2.jpg), Chalita Suansane (https://image.tmdb.org/t/p/w500/1XULaF6ayb6wpvN1XOMUnfYKGoJ.jpg), Rattanawadee Wongtong (https://image.tmdb.org/t/p/w500/cF5AWXXOleumTIEIp4DRFri9RxF.jpg), Pijika Jittaputta (https://image.tmdb.org/t/p/w500/qZDm7Xf2DCr5NyCpupCC35Ug5g5.jpg)",N/A,Movie
1103621,หลานม่า,How to Make Millions Before Grandma Dies,หลานม่า,หนังชีวิต,Released,"Putthipong Assaratanakul (https://image.tmdb.org/t/p/w500/nZfBA7yWpRZk5PUDxa5QGA6lxvF.jpg), Usha Seamkhum (https://image.tmdb.org/t/p/w500/dJjJeB3lY3lHqtliLyXFwLvCOwR.jpg), Sanya Kunakorn (https://image.tmdb.org/t/p/w500/3DQGTDFdAvWMf8XTp8GsOG2VNR1.jpg), Sarinrat Thomas (https://image.tmdb.org/t/p/w500/jLASvduuxm0sFhaagMv6NCGYH8Q.jpg), Pongsatorn Jongwilas (https://image.tmdb.org/t/p/w500/yNatemxogO9JJ8pFXLLMMbBZxGE.jpg)",Netflix,Movie
9316,องค์บาก,Ong-Bak,องค์บาก,"บู๊, ระทึกขวัญ, อาชญากรรม, ผจญ",Released,"Tony Jaa (https://image.tmdb.org/t/p/w500/cs5NAQxyfAkUpWBZaLCbqE5LsMj.jpg), Petchtai Wongkamlao (https://image.tmdb.org/t/p/w500/3hmcqU1OfLZ5kbvl7url63VuWMJ.jpg), Patrarin Punyanutatam (https://image.tmdb.org/t/p/w500/d3P54UzdVGMftdQw2pNgdCyfu9g.jpg), Suchao Pongwilai (https://image.tmdb.org/t/p/w500/rD45Ts2nZ2m8NqTs2CtONDYIthU.jpg), Choomporn Theppitak (https://image.tmdb.org/t/p/w500/bGSF7aaxkJAiyn4anpTIydkRTVI.jpg)",Netflix,Movie
1244361,ช.พ.๑ สมรภูมิคืนชีพ,Operation Undead,ช.พ.๑ สมรภูมิคืนชีพ,"สยองขวัญ, บู๊, ระทึกขวัญ",Released,"Chanon Santinatornkul (https://image.tmdb.org/t/p/w500/wYhYqg6xQXTfnCUVgmhl33SrnaM.jpg), Awat Ratanapintha (https://image.tmdb.org/t/p/w500/fHgaF48XlLlmKTa7z3jRo0zu6Bk.jpg), Guntapat Kasemsan Na Ayudhya (https://image.tmdb.org/t/p/w500/id65tFyDonqjtBwd6FGl4yVExJ4.jpg), Thawatchanin Darayon (https://image.tmdb.org/t/p/w500/qIt3O2Be1jqoHd4mGDj2OHHA7d4.jpg), Thanadol Auepong (https://image.tmdb.org/t/p/w500/6jFWrHaRn2d11gyrkO4m3ujcvQO.jpg)",Netflix,Movie
1025169,13 หมูป่า: เรื่องเล่าจากในถ้ำ,The Trapped 13: How We Survived The Thai Cave,13 หมูป่า: เรื่องเล่าจากในถ้ำ,สารคดี,Released,"Ekapol Chanthawong (N/A), Ei Khan (N/A), Panumas Sangdee (N/A), Chanin Vibulrungruang (N/A), June Yoon (N/A)",Netflix,Movie
